
log with random0.121524513420745
log with random0.2309430478940393
log with random0.9181719641957662
log with random0.8338604158191685
log with random0.7875577000711684
log with random0.6076310460335193
log with random0.7270300425233629
log with random0.05152285382492505
log with random0.3548948785821191
log with random0.5647455140766218
log with random0.994014156778104
log with random0.7711112100640245
log with random0.5266524862679725
log with random0.45465573406014204
log with random0.769109139331517
log with random0.7936264817000676
log with random0.33320967242171196
log with random0.37310208797658495
log with random0.24600768585687716
log with random0.9331885486585201
log with random0.19682724190484735
log with random0.26692163617983833
log with random0.9733019346341047
log with random0.48618556774615107
log with random0.18766263718924625
success with random: 0.9716610342352598
error with random: 0.16736280518839153
error with random: 0.8958002489195456
success with random: 0.4252492675069566
error with random: 0.4673346735661166
success with random: 0.6783882880138286
error with random: 0.6353039384652364
error with random: 0.9099088399327881
success with random: 0.16053332229460526
error with random: 0.4047733606863071
error with random: 0.4017293781128064
success with random: 0.06430003089233094
success with random: 0.6473635000370466
success with random: 0.1756348597743269
error with random: 0.18536864881772797
error with random: 0.6794065064062236
success with random: 0.12958696341692377
success with random: 0.06474866577625638
error with random: 0.0021064922265610075
error with random: 0.7337998477032723
error with random: 0.09152420576911147
error with random: 0.6532083241664575
success with random: 0.044763096803319025
success with random: 0.7739628611327052
success with random: 0.061981081350975575
success with random: 0.5245843377279102
success with random: 0.6268738161433165
error with random: 0.8732135659304547
error with random: 0.41182062419112797
error with random: 0.15311724052106435
error with random: 0.5928895176643489
success with random: 0.7673717586557804
error with random: 0.3277677746427978
success with random: 0.543926725854025
error with random: 0.14784077112045635
error with random: 0.4772291714356429
success with random: 0.9497817479733079
error with random: 0.3168328825649622
success with random: 0.2326631233749612
error with random: 0.8647054706714246
error with random: 0.9522416316698836
success with random: 0.48224376901003696
success with random: 0.6578366211196442
error with random: 0.5933418413379319
error with random: 0.31105477306160245
error with random: 0.07332743010501797
success with random: 0.23591386380241186
error with random: 0.46674568961233986
error with random: 0.13158307953685333
success with random: 0.42051021577234704
success with random: 0.27958951170626634
error with random: 0.5466785991413641
error with random: 0.2818537090596931
error with random: 0.030408273149536758
success with random: 0.6660973968813939
success with random: 0.26315129035849827
error with random: 0.11926888569787386
success with random: 0.6368536701152923
error with random: 0.09612016703650639
success with random: 0.5440733678246061
error with random: 0.8799851936721133
error with random: 0.0957042439812168
success with random: 0.9748017041300294
error with random: 0.07053225206950553
error with random: 0.7071507501315566
success with random: 0.3393027239602888
success with random: 0.5747099164102425
success with random: 0.8821861509365185
success with random: 0.7273933882497805
error with random: 0.39122466482000307
success with random: 0.3882649916441472
success with random: 0.14772299262879907
success with random: 0.35481747526033036
error with random: 0.7426359184406641
success with random: 0.47264755856579876
success with random: 0.23888234591705815
error with random: 0.22189390207923876
error with random: 0.5283003293217603
success with random: 0.7856630924815831
success with random: 0.48672393124268165
error with random: 0.9550526569504474
success with random: 0.12690897967719628
success with random: 0.5730639848774601
success with random: 0.2348315951128619
success with random: 0.5152980117765407
error with random: 0.5464542865285904
success with random: 0.11121758877662957
success with random: 0.2350103265991792
success with random: 0.7623419211383187
success with random: 0.6002971093589651
success with random: 0.8088553796859341
success with random: 0.8371659960958024
error with random: 0.9120711713218608
success with random: 0.7055377095802611
error with random: 0.4988709710415682
